Key,BE_Order,Author_First_Name,Author_Last_Name,Work,Genre,Approximate_Year,Pagecount,Wordcount,BE_RecMovie
34,30,William,Shakespeare,Timon of Athens,Tragedy,1605,304,18216,Watch the 1981 BBC version directed by Jonathan Miller.
12,31,William,Shakespeare,King John,History,1594,352,20772,Watch the 1984 BBC TV drama entitled The Life and Death of King John.
9,32,William,Shakespeare,A Lover’s Complaint,Narrative poem,1591,10,2558,No movie reccomendation from BE
48,33,William,Shakespeare,Two Noble Kinsmen,Comedy,1612,384,25424,No movie reccomendation from BE
30,34,William,Shakespeare,Troilus and Cressida,Tragedy,1601,416,26089,Watch the 1981 BBC version directed by Jonathan Miller. 
3,35,William,Shakespeare,The Comedy of Errors,Comedy,1589,272,14701,Watch the 1982 Bollywood adaptation called Angoor. It’s a great movie and well worth checking out
39,36,William,Shakespeare,Cymbeline,Tragedy,1608,384,27565,Watch the 1982 BBC version with Robert Lindsay and Helen Mirren.
20,37,William,Shakespeare,The Merry Wives of Windsor,Comedy,1597,320,21423,"Watch the 1982 BBC version with Alan Bennett, Richard Griffiths, and Ben Kingsley."
49,38,William,Shakespeare,Henry VIII,History,1613,352,24629,Watch the 1979 BBC version with John Stride.
8,39,William,Shakespeare,The Two Gentlemen of Verona,Comedy,1590,304,17129,Watch the 1983 BBC version with John Hudson.
37,40,William,Shakespeare,Pericles,History,1606,305,18529,Watch the 1984 BBC version.
26,41,William,Shakespeare,The Passionate Pilgrim,Narrative poem,1599,10,2558,No movie reccomendation from BE
29,42,William,Shakespeare,The Phoenix and the Turtle,Narrative poem,1601,10,2558,No movie reccomendation from BE
35,43,William,Shakespeare,Anthony and Cleopatra,Tragedy,1606,186,24905,Watch the 1972 version directed by and starring Charlton Heston.
40,44,William,Shakespeare,Sonnets Part 1 Read 1-28,Poetry,1609,118,2650,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
41,45,William,Shakespeare,Sonnets Part 2 Read 29-56,Poetry,1609,118,2650,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
42,46,William,Shakespeare,Sonnets Part 3 Read 57-84,Poetry,1609,118,2650,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
43,47,William,Shakespeare,Sonnets Part 4 Read 85-112,Poetry,1609,118,2650,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
44,48,William,Shakespeare,Sonnets Part 5 Read 113-140,Poetry,1609,118,2650,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
45,49,William,Shakespeare,Sonnets Part 6 Read 140-154,Poetry,1609,116,2550,Listen to Sir Patrick Stewart: https://www.smithsonianmag.com/smart-news/hear-daily-shakespeare-sonnets-sir-patrick-stewart-180974616/
